customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
14868932,799,Germany,Male,46,4,104979.47,2,1,1,141196.93,0
15439645,609,Germany,Female,42,3,191.36,2,1,0,22288.37,1
6657851,660,France,Male,39,1,109257.05,1,1,0,135589.83,1
13417437,743,France,Female,32,8,124720.32,2,0,1,163391.14,0
5357651,644,Spain,Female,32,4,128455.39,2,1,1,112905.88,0
577473,776,Germany,Female,38,9,97398.7,1,0,0,83763.03,1
15480553,642,Germany,Female,57,5,116466.26,3,1,0,30774.58,1
16372317,655,Germany,Female,29,6,120165.86,1,1,0,50017.4,0
3892120,444,Spain,Male,38,9,536.95,2,0,1,165473.13,0
1654595,702,Spain,Male,49,1,143429.29,2,1,1,104293.86,0
14239738,632,Germany,Male,44,4,138665.01,2,0,1,90574.24,0
12486810,782,Germany,Female,39,5,129368.65,3,1,0,134384.62,1
2404751,802,France,Male,43,2,120874.14,1,1,0,130866.59,0
13280242,788,France,Female,42,3,0.0,2,1,0,56451.63,0
14881821,514,Spain,Male,67,5,115183.52,1,0,1,182210.15,0
156117,680,Spain,Female,42,4,137918.16,4,1,1,6368.83,1
6528765,593,Germany,Female,29,3,116400.7,3,0,0,33216.45,1
7750501,741,Spain,Male,50,9,97701.97,1,0,1,150222.32,0
147464,583,France,Female,44,6,119365.55,1,0,0,131898.1,0
274509,751,Germany,Male,33,3,129521.18,1,1,0,66146.1,0
16241816,728,Germany,Male,36,8,130616.57,1,0,1,21895.5,1
2641906,604,Germany,Male,39,2,137691.27,2,1,0,149481.27,0
11823128,436,Spain,Male,43,3,135411.28,2,1,1,28662.27,0
11859502,824,Germany,Male,29,5,128908.62,1,1,1,71297.54,0
13360880,780,Germany,Male,47,9,111080.45,1,0,1,180464.62,0
4269552,539,France,Female,26,5,112434.35,1,0,1,2985.15,0
6238439,792,Germany,Female,28,9,95294.35,1,1,0,41859.43,1
3757134,624,Germany,Male,39,4,111571.12,2,1,1,159269.55,0
6988493,783,Spain,Female,41,5,121816.96,2,1,0,98115.34,0
4519635,474,Germany,Male,38,8,97207.61,1,1,1,809.51,0
4126311,788,Spain,Male,43,8,129465.61,2,1,1,87434.56,0
11476471,453,Germany,Female,42,5,96435.93,2,0,0,11.58,0
4920812,518,Germany,Female,44,4,117497.63,1,0,0,77846.63,0
15533250,563,Spain,Male,38,8,202.88,2,0,0,186365.8,0
10996464,680,France,Male,40,7,120397.76,1,1,1,80759.38,1
981001,660,Spain,Female,43,9,125228.59,3,0,0,114959.41,1
1562112,582,Spain,Male,27,2,130738.37,1,1,1,159485.61,0
