customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
14868932,774,France,Male,34,7,89632.74,2,0,1,127024.9,0
15439645,605,Germany,Female,29,3,106096.6,2,1,0,156311.65,0
6657851,603,France,Male,32,4,92385.7,1,1,0,125827.24,0
13417437,654,France,Female,35,4,0.0,2,0,1,173718.19,0
5357651,552,France,Male,26,4,69994.51,1,1,1,137726.83,0
577473,623,Spain,Female,43,2,69756.54,1,1,0,136152.08,1
15480553,606,France,Male,63,7,102200.84,1,1,1,104525.44,1
16372317,615,Germany,Male,37,2,106302.52,2,1,1,66504.06,0
3892120,652,Spain,Male,41,9,476.95,2,1,0,162701.33,0
1654595,544,Spain,Male,46,1,90448.53,2,1,1,187073.32,0
14239738,576,Germany,Male,34,4,77891.19,2,1,1,39723.65,0
12486810,560,Spain,Female,44,5,124886.0,1,1,1,101446.75,1
2404751,646,France,Male,45,0,112421.33,2,1,1,186288.45,0
13280242,588,Germany,Male,35,3,150399.91,1,0,0,57485.99,0
14881821,504,France,Male,63,2,94097.5,1,0,1,126851.86,0
156117,593,Spain,Male,44,3,119759.96,4,1,1,3607.35,1
6528765,532,France,Female,35,4,96446.75,3,0,0,82663.47,1
7750501,746,Spain,Male,49,9,992.94,2,0,0,140651.67,0
147464,553,France,Female,51,6,129859.01,1,0,0,116867.34,0
274509,646,France,Male,34,4,0.0,2,1,1,49184.59,0
16241816,664,France,Male,42,8,1222.13,1,1,0,15128.21,0
2641906,520,Germany,Male,64,1,88818.27,1,1,0,119298.57,1
11823128,673,Spain,Male,36,3,26.6,2,1,1,17690.76,0
11859502,737,Germany,Male,36,5,117596.2,2,0,1,56188.7,0
13360880,763,Spain,Male,24,8,0.0,2,0,0,147139.27,0
4269552,482,France,Male,30,7,152954.66,1,1,1,27941.51,0
6238439,531,France,Female,31,7,92749.97,1,1,1,185778.9,0
3757134,521,Germany,Male,46,7,98869.14,1,1,1,111355.36,1
6988493,488,Spain,Male,33,8,113144.59,2,1,1,2547.28,0
4519635,486,Germany,Male,35,8,106257.65,1,0,1,65726.91,0
4126311,782,France,Male,51,10,98147.04,2,1,1,39383.97,0
11476471,564,Germany,Female,53,5,99688.83,1,1,0,43283.54,1
4920812,520,Germany,Male,42,7,74818.65,1,0,0,17146.84,0
15533250,679,Spain,Male,34,8,1768.27,2,1,1,179338.01,0
10996464,634,France,Male,33,7,115770.85,2,1,1,128616.38,1
981001,574,Spain,Female,50,10,152163.85,1,0,0,114095.47,1
1562112,515,Spain,Male,30,1,106022.59,2,1,1,135939.11,0
13186035,614,Spain,Male,31,9,1796.41,1,1,1,59279.73,0
1959380,548,Germany,Male,43,9,72844.25,2,0,1,72600.45,0
3777340,617,Spain,Male,40,1,81192.05,1,1,1,59566.62,0
9396170,652,France,Male,34,2,719.46,2,0,1,101524.34,0
13428286,529,France,Male,37,8,146058.28,1,1,1,66654.09,0
13948992,682,France,Female,55,5,77185.32,2,1,1,162869.35,1
3990939,449,France,Male,34,8,0.0,2,1,0,128285.4,0
6558199,550,France,Male,38,1,114041.65,1,1,1,56933.4,0
6152094,607,Germany,Female,26,8,122017.41,1,1,1,164416.07,0
15452033,745,France,Male,36,7,124095.39,2,1,0,188549.37,0
5310563,587,Germany,Female,46,9,132837.3,4,1,1,12633.41,1
14035149,704,France,Male,33,8,0.0,2,0,0,143510.48,0
5419111,496,France,Female,46,8,136685.78,2,1,0,42993.04,0
16314851,783,France,Female,29,1,117735.4,1,1,1,44118.3,0
4672837,463,France,Male,44,8,120351.87,1,0,1,22235.09,0
12967140,644,Spain,Male,43,5,0.0,2,1,1,162415.74,0
10591189,850,Spain,Male,37,7,164676.34,2,0,0,29461.21,0
2840092,556,France,Male,31,1,489.57,2,1,0,142097.31,0
1053782,804,France,Male,34,7,0.0,2,0,1,87901.85,0
13428006,536,Germany,Male,35,8,150864.56,1,0,1,133289.4,0
14305470,538,Germany,Female,63,8,89932.02,1,0,1,136474.61,0
1451299,601,Spain,Male,35,7,106556.39,1,1,0,20594.09,0
691147,641,Spain,Female,46,4,262.82,1,0,0,126800.79,0
6948175,652,Spain,Female,32,8,146213.67,2,0,1,147457.66,0
15499935,549,Germany,Female,49,2,97153.21,3,1,1,64787.03,1
6943995,664,France,Male,28,8,68810.52,2,1,1,146495.72,0
5017602,828,Spain,Male,37,3,129761.87,2,1,0,186493.67,0
12853260,531,France,Male,45,3,0.0,2,0,0,141010.09,0
5776327,654,France,Female,35,2,0.0,2,0,0,182039.91,0
9500223,635,Germany,Female,30,4,120048.54,1,0,1,125814.84,0
7259282,672,France,Female,42,4,69027.05,1,1,1,58927.82,0
8205595,826,Spain,Male,40,2,99317.55,2,1,1,94060.71,0
13438776,643,Spain,Male,49,7,134235.3,1,1,1,135224.42,1
6611025,587,Spain,Male,44,5,123348.13,2,1,1,106035.0,0
14228644,578,France,Male,40,7,392.62,2,1,1,15902.98,0
14397014,703,France,Female,40,4,165458.38,1,1,0,112976.47,0
12630273,632,Spain,Female,49,2,115991.11,1,0,0,102788.38,1
3851236,776,France,Female,35,7,0.0,2,0,1,190598.93,0
1673188,639,Germany,Female,42,3,85764.77,1,1,1,153965.94,0
821261,509,France,Male,39,8,124254.25,1,0,1,138646.13,0
7413302,704,France,Male,37,7,0.0,2,1,0,138423.08,0
9264680,836,Spain,Female,35,3,104829.99,1,1,1,46594.97,0
5259138,770,France,Female,66,2,129297.22,1,0,0,114615.29,1
13732767,752,Spain,Female,41,7,905.94,2,0,1,167459.95,0
9961203,825,France,Male,40,2,0.0,2,0,1,114362.41,0
14372422,656,Germany,Female,41,5,83726.85,3,1,0,85532.23,1
2428902,597,Spain,Female,39,9,126162.34,1,1,0,154723.61,1
6535298,576,France,Female,36,4,0.0,1,0,0,150218.02,0
11722751,580,France,Male,32,7,0.0,2,1,0,128478.57,0
11468085,591,France,Male,68,7,0.0,2,1,0,179677.86,0
3648096,526,Germany,Male,44,9,97561.53,2,1,1,178102.62,0
3638891,457,Spain,Female,60,2,128086.11,1,1,1,47426.59,0
12879883,604,Spain,Male,42,2,183511.1,1,0,0,98414.11,0
4252434,697,Spain,Male,33,8,119.92,2,1,0,108985.87,0
13036782,604,Spain,Male,56,8,102957.87,1,1,0,138072.86,0
1856473,560,Germany,Male,48,7,157883.03,3,1,1,49130.49,1
315845,619,France,Male,34,8,122323.02,1,1,1,104930.9,0
7131910,743,France,Male,33,1,164879.03,2,0,1,12124.05,0
13890907,643,France,Male,36,6,711.37,1,1,0,166646.84,0
14856501,594,France,Male,62,9,117667.45,1,1,1,81908.02,0
135842,484,France,Male,42,3,128174.92,1,0,1,166027.73,0
14178115,677,France,Male,66,10,103485.28,1,1,1,18209.12,0
12294219,561,France,Female,37,9,105372.58,1,1,0,137619.9,0
